unique_ID,minion_ID,MGI_ID_from_fastq.gz,minion_ID_mismatch_YN,MGI_ID_mismatch_YN,Anomoly_Note,original_sort_order
623361_20180123_S,623361_20180123_S,623361_20180123_S,0,0,,1
634207_20180510_S,,634207_20180510_S,0,0,,2
634207_20180517_S,,634207_20180517_S,0,0,,3
639354_20171206_S,639354_20171206_S,639354_20171206_S,0,0,MGI_metadata is wrong 649354 (seq filenames and this metadata are fine),4
639354_20171213_S,,,0,0,,5
642660_20180601_S,642660_20180601_S,642660_20180601_S,0,0,,6
650003_20180207_S,650003_20180207_S,650003_20180207_S,0,0,,7
650003_20180213_S,,650003_20180213_S,0,0,,8
658355_20170925_S,,658355_20170925_S,0,0,,9
658355_20171204_S,658355_20171204_S,658355_20171204_S,0,0,,10
658355_20180122_S,658355_20180122_S,658355_20180122_S,0,0,,11
658355_20180321_S,658355_20180321_S,658355_20180321_S,0,0,,12
658355_20180327_S,,658355_20180301_S,0,1,"MGI_ID date wrong, is 0301, should be 0327",13
670829_20170922_S,,670829_20170922_S,0,0,,14
670829_20171001_S,,670829_20171001_S,0,0,,15
670829_20171005_S,,670829_20171005_S,0,0,,16
670829_20171013_S,,,0,0,,17
670829_20180201_S,,670829_20180201_S,0,0,,18
673025_20180430_S,,,0,0,,19
673895_20180122_S,673895_20180122_S,673895_20180122_S,0,0,,20
673895_20180128_S,,,0,0,,21
673895_20180205_S,673895_20180205_S,673895_20180205_S,0,0,,22
676138_20171001_S,,676138_20171001_S,0,0,,23
676138_20171009_S,,676138_20171009_S,0,0,,24
676138_20180130_S,676138_20180130_S,676138_20180130_S,0,0,,25
676138_20180323_S,,676138_20180323_S,0,0,,26
676138_20180405_S,,676138_20180405_S,0,0,,27
698564_20171001_S,,698564_20171001_S,0,0,,28
698564_20171009_S,,,0,0,,29
698564_20180215_S,,698564_20180215_S,0,0,,30
698564_20181205_S,,698564_20181205_S,0,0,,31
698917_20171207_S,698917_20171207_S,698917_20171207_S,0,0,,32
698917_20180112_S,,,0,0,,33
698917_20180119_S,698917_20190119_S,698917_20180119_S,1,0,"Minion_ID date wrong, is 2019, should be 2018.",34
698917_20180128_S,698917_20180128_S,698917_20180128_S,0,0,,35
698917_20180329_S,,698917_20180329_S,0,0,,36
701099_20180504_S,,701099_20180504_S,0,0,,37
701099_20180510_S,,,0,0,,38
701099_20180517_S,,701099_20180517_S,0,0,,39
712559_20181114_S,,,0,0,,40
713997_20180212_S,,,0,0,,41
715927_20180205_S,715927_20180205_S,715927_20180205_S,0,0,,42
715927_20180213_S,,715927_20180213_S,0,0,,43
715927_20180226_S,,652927_20180226_S,0,1,DATABASE & MGI_metadata error: Patient code in samples should be 715927_20180226_S,44
717449_20180606_S,,717449_20180606_S,0,0,,45
720054_20170925_S,,720054_20170925_S,0,0,,46
720054_20171120_S,,720054_20171120_S,0,0,,47
748160_20180321_S,748160_20180321_S,748160_20180321_S,0,0,,48
748160_20180329_S,748160_20180329_S,748160_20180329_S,0,0,,49
748699_20180329_S,748699_20180329_S,748699_20180329_S,0,0,,50
748699_20180410_S,748699_20180410_S,748699_20180410_S,0,0,,51
748699_20190101_S,,748699_20190101_S,0,0,,52
748699_20190109_S,,748699_20190109_S,0,0,,53
748699_20190114_S,,748699_20190114_S,0,0,,54
752797_20170918_S,,752797_20170918_S,0,0,,55
752797_20170927_S,752797_20170927_S,752797_20170927_S,0,0,,56
